lineage,parent,children
A,,A
A.1,A,A.1
A,,A.1
A.2,A,A.2
A,,A.2
A.2.2,A.2,A.2.2
A.2,A,A.2.2
A,,A.2.2
A.2.3,A.2,A.2.3
A.2,A,A.2.3
A,,A.2.3
A.2.4,A.2,A.2.4
A.2,A,A.2.4
A,,A.2.4
A.2.5,A.2,A.2.5
A.2,A,A.2.5
A,,A.2.5
A.2.5.1,A.2.5,A.2.5.1
A.2.5,A.2,A.2.5.1
A.2,A,A.2.5.1
A,,A.2.5.1
A.2.5.2,A.2.5,A.2.5.2
A.2.5,A.2,A.2.5.2
A.2,A,A.2.5.2
A,,A.2.5.2
A.2.5.3,A.2.5,A.2.5.3
A.2.5,A.2,A.2.5.3
A.2,A,A.2.5.3
A,,A.2.5.3
A.3,A,A.3
A,,A.3
A.4,A,A.4
A,,A.4
A.5,A,A.5
A,,A.5
A.6,A,A.6
A,,A.6
A.7,A,A.7
A,,A.7
A.9,A,A.9
A,,A.9
A.11,A,A.11
A,,A.11
A.12,A,A.12
A,,A.12
A.15,A,A.15
A,,A.15
A.16,A,A.16
A,,A.16
A.17,A,A.17
A,,A.17
A.18,A,A.18
A,,A.18
A.19,A,A.19
A,,A.19
A.21,A,A.21
A,,A.21
A.22,A,A.22
A,,A.22
A.23,A,A.23
A,,A.23
A.23.1,A.23,A.23.1
A.23,A,A.23.1
A,,A.23.1
A.24,A,A.24
A,,A.24
A.25,A,A.25
A,,A.25
A.26,A,A.26
A,,A.26
A.27,A,A.27
A,,A.27
A.28,A,A.28
A,,A.28
A.29,A,A.29
A,,A.29
A.30,A,A.30
A,,A.30
B,,B
B.1,B,B.1
B,,B.1
B.1.1,B.1,B.1.1
B.1,B,B.1.1
B,,B.1.1
B.1.1.1,B.1.1,B.1.1.1
B.1.1,B.1,B.1.1.1
B.1,B,B.1.1.1
B,,B.1.1.1
C.1,B.1.1.1,C.1
B.1.1.1,B.1.1,C.1
B.1.1,B.1,C.1
B.1,B,C.1
B,,C.1
C.1.1,C.1,C.1.1
C.1,B.1.1.1,C.1.1
B.1.1.1,B.1.1,C.1.1
B.1.1,B.1,C.1.1
B.1,B,C.1.1
B,,C.1.1
C.1.2,C.1,C.1.2
C.1,B.1.1.1,C.1.2
B.1.1.1,B.1.1,C.1.2
B.1.1,B.1,C.1.2
B.1,B,C.1.2
B,,C.1.2
C.2,B.1.1.1,C.2
B.1.1.1,B.1.1,C.2
B.1.1,B.1,C.2
B.1,B,C.2
B,,C.2
C.2.1,C.2,C.2.1
C.2,B.1.1.1,C.2.1
B.1.1.1,B.1.1,C.2.1
B.1.1,B.1,C.2.1
B.1,B,C.2.1
B,,C.2.1
C.3,B.1.1.1,C.3
B.1.1.1,B.1.1,C.3
B.1.1,B.1,C.3
B.1,B,C.3
B,,C.3
C.4,B.1.1.1,C.4
B.1.1.1,B.1.1,C.4
B.1.1,B.1,C.4
B.1,B,C.4
B,,C.4
C.5,B.1.1.1,C.5
B.1.1.1,B.1.1,C.5
B.1.1,B.1,C.5
B.1,B,C.5
B,,C.5
C.6,B.1.1.1,C.6
B.1.1.1,B.1.1,C.6
B.1.1,B.1,C.6
B.1,B,C.6
B,,C.6
C.7,B.1.1.1,C.7
B.1.1.1,B.1.1,C.7
B.1.1,B.1,C.7
B.1,B,C.7
B,,C.7
C.8,B.1.1.1,C.8
B.1.1.1,B.1.1,C.8
B.1.1,B.1,C.8
B.1,B,C.8
B,,C.8
C.9,B.1.1.1,C.9
B.1.1.1,B.1.1,C.9
B.1.1,B.1,C.9
B.1,B,C.9
B,,C.9
C.10,B.1.1.1,C.10
B.1.1.1,B.1.1,C.10
B.1.1,B.1,C.10
B.1,B,C.10
B,,C.10
C.11,B.1.1.1,C.11
B.1.1.1,B.1.1,C.11
B.1.1,B.1,C.11
B.1,B,C.11
B,,C.11
C.12,B.1.1.1,C.12
B.1.1.1,B.1.1,C.12
B.1.1,B.1,C.12
B.1,B,C.12
B,,C.12
C.13,B.1.1.1,C.13
B.1.1.1,B.1.1,C.13
B.1.1,B.1,C.13
B.1,B,C.13
B,,C.13
C.14,B.1.1.1,C.14
B.1.1.1,B.1.1,C.14
B.1.1,B.1,C.14
B.1,B,C.14
B,,C.14
C.16,B.1.1.1,C.16
B.1.1.1,B.1.1,C.16
B.1.1,B.1,C.16
B.1,B,C.16
B,,C.16
C.17,B.1.1.1,C.17
B.1.1.1,B.1.1,C.17
B.1.1,B.1,C.17
B.1,B,C.17
B,,C.17
C.18,B.1.1.1,C.18
B.1.1.1,B.1.1,C.18
B.1.1,B.1,C.18
B.1,B,C.18
B,,C.18
C.19,B.1.1.1,C.19
B.1.1.1,B.1.1,C.19
B.1.1,B.1,C.19
B.1,B,C.19
B,,C.19
C.20,B.1.1.1,C.20
B.1.1.1,B.1.1,C.20
B.1.1,B.1,C.20
B.1,B,C.20
B,,C.20
C.21,B.1.1.1,C.21
B.1.1.1,B.1.1,C.21
B.1.1,B.1,C.21
B.1,B,C.21
B,,C.21
C.22,B.1.1.1,C.22
B.1.1.1,B.1.1,C.22
B.1.1,B.1,C.22
B.1,B,C.22
B,,C.22
C.23,B.1.1.1,C.23
B.1.1.1,B.1.1,C.23
B.1.1,B.1,C.23
B.1,B,C.23
B,,C.23
C.25,B.1.1.1,C.25
B.1.1.1,B.1.1,C.25
B.1.1,B.1,C.25
B.1,B,C.25
B,,C.25
C.26,B.1.1.1,C.26
B.1.1.1,B.1.1,C.26
B.1.1,B.1,C.26
B.1,B,C.26
B,,C.26
C.27,B.1.1.1,C.27
B.1.1.1,B.1.1,C.27
B.1.1,B.1,C.27
B.1,B,C.27
B,,C.27
C.28,B.1.1.1,C.28
B.1.1.1,B.1.1,C.28
B.1.1,B.1,C.28
B.1,B,C.28
B,,C.28
C.29,B.1.1.1,C.29
B.1.1.1,B.1.1,C.29
B.1.1,B.1,C.29
B.1,B,C.29
B,,C.29
C.30,B.1.1.1,C.30
B.1.1.1,B.1.1,C.30
B.1.1,B.1,C.30
B.1,B,C.30
B,,C.30
C.30.1,C.30,C.30.1
C.30,B.1.1.1,C.30.1
B.1.1.1,B.1.1,C.30.1
B.1.1,B.1,C.30.1
B.1,B,C.30.1
B,,C.30.1
C.31,B.1.1.1,C.31
B.1.1.1,B.1.1,C.31
B.1.1,B.1,C.31
B.1,B,C.31
B,,C.31
C.32,B.1.1.1,C.32
B.1.1.1,B.1.1,C.32
B.1.1,B.1,C.32
B.1,B,C.32
B,,C.32
C.33,B.1.1.1,C.33
B.1.1.1,B.1.1,C.33
B.1.1,B.1,C.33
B.1,B,C.33
B,,C.33
C.34,B.1.1.1,C.34
B.1.1.1,B.1.1,C.34
B.1.1,B.1,C.34
B.1,B,C.34
B,,C.34
C.35,B.1.1.1,C.35
B.1.1.1,B.1.1,C.35
B.1.1,B.1,C.35
B.1,B,C.35
B,,C.35
C.36,B.1.1.1,C.36
B.1.1.1,B.1.1,C.36
B.1.1,B.1,C.36
B.1,B,C.36
B,,C.36
C.36.1,C.36,C.36.1
C.36,B.1.1.1,C.36.1
B.1.1.1,B.1.1,C.36.1
B.1.1,B.1,C.36.1
B.1,B,C.36.1
B,,C.36.1
C.36.2,C.36,C.36.2
C.36,B.1.1.1,C.36.2
B.1.1.1,B.1.1,C.36.2
B.1.1,B.1,C.36.2
B.1,B,C.36.2
B,,C.36.2
C.36.3,C.36,C.36.3
C.36,B.1.1.1,C.36.3
B.1.1.1,B.1.1,C.36.3
B.1.1,B.1,C.36.3
B.1,B,C.36.3
B,,C.36.3
C.36.3.1,C.36.3,C.36.3.1
C.36.3,C.36,C.36.3.1
C.36,B.1.1.1,C.36.3.1
B.1.1.1,B.1.1,C.36.3.1
B.1.1,B.1,C.36.3.1
B.1,B,C.36.3.1
B,,C.36.3.1
C.37,B.1.1.1,C.37
B.1.1.1,B.1.1,C.37
B.1.1,B.1,C.37
B.1,B,C.37
B,,C.37
C.37.1,C.37,C.37.1
C.37,B.1.1.1,C.37.1
B.1.1.1,B.1.1,C.37.1
B.1.1,B.1,C.37.1
B.1,B,C.37.1
B,,C.37.1
C.38,B.1.1.1,C.38
B.1.1.1,B.1.1,C.38
B.1.1,B.1,C.38
B.1,B,C.38
B,,C.38
C.39,B.1.1.1,C.39
B.1.1.1,B.1.1,C.39
B.1.1,B.1,C.39
B.1,B,C.39
B,,C.39
C.40,B.1.1.1,C.40
B.1.1.1,B.1.1,C.40
B.1.1,B.1,C.40
B.1,B,C.40
B,,C.40
B.1.1.3,B.1.1,B.1.1.3
B.1.1,B.1,B.1.1.3
B.1,B,B.1.1.3
B,,B.1.1.3
B.1.1.4,B.1.1,B.1.1.4
B.1.1,B.1,B.1.1.4
B.1,B,B.1.1.4
B,,B.1.1.4
B.1.1.5,B.1.1,B.1.1.5
B.1.1,B.1,B.1.1.5
B.1,B,B.1.1.5
B,,B.1.1.5
B.1.1.7,B.1.1,B.1.1.7
B.1.1,B.1,B.1.1.7
B.1,B,B.1.1.7
B,,B.1.1.7
Q.1,B.1.1.7,Q.1
B.1.1.7,B.1.1,Q.1
B.1.1,B.1,Q.1
B.1,B,Q.1
B,,Q.1
Q.2,B.1.1.7,Q.2
B.1.1.7,B.1.1,Q.2
B.1.1,B.1,Q.2
B.1,B,Q.2
B,,Q.2
Q.3,B.1.1.7,Q.3
B.1.1.7,B.1.1,Q.3
B.1.1,B.1,Q.3
B.1,B,Q.3
B,,Q.3
Q.4,B.1.1.7,Q.4
B.1.1.7,B.1.1,Q.4
B.1.1,B.1,Q.4
B.1,B,Q.4
B,,Q.4
Q.5,B.1.1.7,Q.5
B.1.1.7,B.1.1,Q.5
B.1.1,B.1,Q.5
B.1,B,Q.5
B,,Q.5
Q.6,B.1.1.7,Q.6
B.1.1.7,B.1.1,Q.6
B.1.1,B.1,Q.6
B.1,B,Q.6
B,,Q.6
Q.7,B.1.1.7,Q.7
B.1.1.7,B.1.1,Q.7
B.1.1,B.1,Q.7
B.1,B,Q.7
B,,Q.7
Q.8,B.1.1.7,Q.8
B.1.1.7,B.1.1,Q.8
B.1.1,B.1,Q.8
B.1,B,Q.8
B,,Q.8
B.1.1.8,B.1.1,B.1.1.8
B.1.1,B.1,B.1.1.8
B.1,B,B.1.1.8
B,,B.1.1.8
B.1.1.10,B.1.1,B.1.1.10
B.1.1,B.1,B.1.1.10
B.1,B,B.1.1.10
B,,B.1.1.10
L.1,B.1.1.10,L.1
B.1.1.10,B.1.1,L.1
B.1.1,B.1,L.1
B.1,B,L.1
B,,L.1
L.2,B.1.1.10,L.2
B.1.1.10,B.1.1,L.2
B.1.1,B.1,L.2
B.1,B,L.2
B,,L.2
L.3,B.1.1.10,L.3
B.1.1.10,B.1.1,L.3
B.1.1,B.1,L.3
B.1,B,L.3
B,,L.3
L.4,B.1.1.10,L.4
B.1.1.10,B.1.1,L.4
B.1.1,B.1,L.4
B.1,B,L.4
B,,L.4
B.1.1.12,B.1.1,B.1.1.12
B.1.1,B.1,B.1.1.12
B.1,B,B.1.1.12
B,,B.1.1.12
B.1.1.13,B.1.1,B.1.1.13
B.1.1,B.1,B.1.1.13
B.1,B,B.1.1.13
B,,B.1.1.13
B.1.1.14,B.1.1,B.1.1.14
B.1.1,B.1,B.1.1.14
B.1,B,B.1.1.14
B,,B.1.1.14
B.1.1.15,B.1.1,B.1.1.15
B.1.1,B.1,B.1.1.15
B.1,B,B.1.1.15
B,,B.1.1.15
B.1.1.16,B.1.1,B.1.1.16
B.1.1,B.1,B.1.1.16
B.1,B,B.1.1.16
B,,B.1.1.16
B.1.1.17,B.1.1,B.1.1.17
B.1.1,B.1,B.1.1.17
B.1,B,B.1.1.17
B,,B.1.1.17
B.1.1.25,B.1.1,B.1.1.25
B.1.1,B.1,B.1.1.25
B.1,B,B.1.1.25
B,,B.1.1.25
D.2,B.1.1.25,D.2
B.1.1.25,B.1.1,D.2
B.1.1,B.1,D.2
B.1,B,D.2
B,,D.2
D.3,B.1.1.25,D.3
B.1.1.25,B.1.1,D.3
B.1.1,B.1,D.3
B.1,B,D.3
B,,D.3
D.4,B.1.1.25,D.4
B.1.1.25,B.1.1,D.4
B.1.1,B.1,D.4
B.1,B,D.4
B,,D.4
D.5,B.1.1.25,D.5
B.1.1.25,B.1.1,D.5
B.1.1,B.1,D.5
B.1,B,D.5
B,,D.5
B.1.1.26,B.1.1,B.1.1.26
B.1.1,B.1,B.1.1.26
B.1,B,B.1.1.26
B,,B.1.1.26
B.1.1.27,B.1.1,B.1.1.27
B.1.1,B.1,B.1.1.27
B.1,B,B.1.1.27
B,,B.1.1.27
B.1.1.28,B.1.1,B.1.1.28
B.1.1,B.1,B.1.1.28
B.1,B,B.1.1.28
B,,B.1.1.28
P.1,B.1.1.28,P.1
B.1.1.28,B.1.1,P.1
B.1.1,B.1,P.1
B.1,B,P.1
B,,P.1
P.1.1,P.1,P.1.1
P.1,B.1.1.28,P.1.1
B.1.1.28,B.1.1,P.1.1
B.1.1,B.1,P.1.1
B.1,B,P.1.1
B,,P.1.1
P.1.2,P.1,P.1.2
P.1,B.1.1.28,P.1.2
B.1.1.28,B.1.1,P.1.2
B.1.1,B.1,P.1.2
B.1,B,P.1.2
B,,P.1.2
P.1.3,P.1,P.1.3
P.1,B.1.1.28,P.1.3
B.1.1.28,B.1.1,P.1.3
B.1.1,B.1,P.1.3
B.1,B,P.1.3
B,,P.1.3
P.1.4,P.1,P.1.4
P.1,B.1.1.28,P.1.4
B.1.1.28,B.1.1,P.1.4
B.1.1,B.1,P.1.4
B.1,B,P.1.4
B,,P.1.4
P.1.5,P.1,P.1.5
P.1,B.1.1.28,P.1.5
B.1.1.28,B.1.1,P.1.5
B.1.1,B.1,P.1.5
B.1,B,P.1.5
B,,P.1.5
P.1.6,P.1,P.1.6
P.1,B.1.1.28,P.1.6
B.1.1.28,B.1.1,P.1.6
B.1.1,B.1,P.1.6
B.1,B,P.1.6
B,,P.1.6
P.1.7,P.1,P.1.7
P.1,B.1.1.28,P.1.7
B.1.1.28,B.1.1,P.1.7
B.1.1,B.1,P.1.7
B.1,B,P.1.7
B,,P.1.7
P.1.7.1,P.1.7,P.1.7.1
P.1.7,P.1,P.1.7.1
P.1,B.1.1.28,P.1.7.1
B.1.1.28,B.1.1,P.1.7.1
B.1.1,B.1,P.1.7.1
B.1,B,P.1.7.1
B,,P.1.7.1
P.1.8,P.1,P.1.8
P.1,B.1.1.28,P.1.8
B.1.1.28,B.1.1,P.1.8
B.1.1,B.1,P.1.8
B.1,B,P.1.8
B,,P.1.8
P.1.9,P.1,P.1.9
P.1,B.1.1.28,P.1.9
B.1.1.28,B.1.1,P.1.9
B.1.1,B.1,P.1.9
B.1,B,P.1.9
B,,P.1.9
P.1.10,P.1,P.1.10
P.1,B.1.1.28,P.1.10
B.1.1.28,B.1.1,P.1.10
B.1.1,B.1,P.1.10
B.1,B,P.1.10
B,,P.1.10
P.1.10.1,P.1.10,P.1.10.1
P.1.10,P.1,P.1.10.1
P.1,B.1.1.28,P.1.10.1
B.1.1.28,B.1.1,P.1.10.1
B.1.1,B.1,P.1.10.1
B.1,B,P.1.10.1
B,,P.1.10.1
P.1.10.2,P.1.10,P.1.10.2
P.1.10,P.1,P.1.10.2
P.1,B.1.1.28,P.1.10.2
B.1.1.28,B.1.1,P.1.10.2
B.1.1,B.1,P.1.10.2
B.1,B,P.1.10.2
B,,P.1.10.2
P.1.11,P.1,P.1.11
P.1,B.1.1.28,P.1.11
B.1.1.28,B.1.1,P.1.11
B.1.1,B.1,P.1.11
B.1,B,P.1.11
B,,P.1.11
P.1.12,P.1,P.1.12
P.1,B.1.1.28,P.1.12
B.1.1.28,B.1.1,P.1.12
B.1.1,B.1,P.1.12
B.1,B,P.1.12
B,,P.1.12
P.1.12.1,P.1.12,P.1.12.1
P.1.12,P.1,P.1.12.1
P.1,B.1.1.28,P.1.12.1
B.1.1.28,B.1.1,P.1.12.1
B.1.1,B.1,P.1.12.1
B.1,B,P.1.12.1
B,,P.1.12.1
P.1.13,P.1,P.1.13
P.1,B.1.1.28,P.1.13
B.1.1.28,B.1.1,P.1.13
B.1.1,B.1,P.1.13
B.1,B,P.1.13
B,,P.1.13
P.1.14,P.1,P.1.14
P.1,B.1.1.28,P.1.14
B.1.1.28,B.1.1,P.1.14
B.1.1,B.1,P.1.14
B.1,B,P.1.14
B,,P.1.14
P.1.15,P.1,P.1.15
P.1,B.1.1.28,P.1.15
B.1.1.28,B.1.1,P.1.15
B.1.1,B.1,P.1.15
B.1,B,P.1.15
B,,P.1.15
P.1.16,P.1,P.1.16
P.1,B.1.1.28,P.1.16
B.1.1.28,B.1.1,P.1.16
B.1.1,B.1,P.1.16
B.1,B,P.1.16
B,,P.1.16
P.1.17,P.1,P.1.17
P.1,B.1.1.28,P.1.17
B.1.1.28,B.1.1,P.1.17
B.1.1,B.1,P.1.17
B.1,B,P.1.17
B,,P.1.17
P.1.17.1,P.1.17,P.1.17.1
P.1.17,P.1,P.1.17.1
P.1,B.1.1.28,P.1.17.1
B.1.1.28,B.1.1,P.1.17.1
B.1.1,B.1,P.1.17.1
B.1,B,P.1.17.1
B,,P.1.17.1
P.2,B.1.1.28,P.2
B.1.1.28,B.1.1,P.2
B.1.1,B.1,P.2
B.1,B,P.2
B,,P.2
P.3,B.1.1.28,P.3
B.1.1.28,B.1.1,P.3
B.1.1,B.1,P.3
B.1,B,P.3
B,,P.3
P.4,B.1.1.28,P.4
B.1.1.28,B.1.1,P.4
B.1.1,B.1,P.4
B.1,B,P.4
B,,P.4
P.5,B.1.1.28,P.5
B.1.1.28,B.1.1,P.5
B.1.1,B.1,P.5
B.1,B,P.5
B,,P.5
P.6,B.1.1.28,P.6
B.1.1.28,B.1.1,P.6
B.1.1,B.1,P.6
B.1,B,P.6
B,,P.6
P.7,B.1.1.28,P.7
B.1.1.28,B.1.1,P.7
B.1.1,B.1,P.7
B.1,B,P.7
B,,P.7
B.1.1.29,B.1.1,B.1.1.29
B.1.1,B.1,B.1.1.29
B.1,B,B.1.1.29
B,,B.1.1.29
B.1.1.30,B.1.1,B.1.1.30
B.1.1,B.1,B.1.1.30
B.1,B,B.1.1.30
B,,B.1.1.30
B.1.1.31,B.1.1,B.1.1.31
B.1.1,B.1,B.1.1.31
B.1,B,B.1.1.31
B,,B.1.1.31
B.1.1.33,B.1.1,B.1.1.33
B.1.1,B.1,B.1.1.33
B.1,B,B.1.1.33
B,,B.1.1.33
N.1,B.1.1.33,N.1
B.1.1.33,B.1.1,N.1
B.1.1,B.1,N.1
B.1,B,N.1
B,,N.1
N.2,B.1.1.33,N.2
B.1.1.33,B.1.1,N.2
B.1.1,B.1,N.2
B.1,B,N.2
B,,N.2
N.3,B.1.1.33,N.3
B.1.1.33,B.1.1,N.3
B.1.1,B.1,N.3
B.1,B,N.3
B,,N.3
N.4,B.1.1.33,N.4
B.1.1.33,B.1.1,N.4
B.1.1,B.1,N.4
B.1,B,N.4
B,,N.4
N.5,B.1.1.33,N.5
B.1.1.33,B.1.1,N.5
B.1.1,B.1,N.5
B.1,B,N.5
B,,N.5
N.6,B.1.1.33,N.6
B.1.1.33,B.1.1,N.6
B.1.1,B.1,N.6
B.1,B,N.6
B,,N.6
N.7,B.1.1.33,N.7
B.1.1.33,B.1.1,N.7
B.1.1,B.1,N.7
B.1,B,N.7
B,,N.7
N.8,B.1.1.33,N.8
B.1.1.33,B.1.1,N.8
B.1.1,B.1,N.8
B.1,B,N.8
B,,N.8
N.9,B.1.1.33,N.9
B.1.1.33,B.1.1,N.9
B.1.1,B.1,N.9
B.1,B,N.9
B,,N.9
N.10,B.1.1.33,N.10
B.1.1.33,B.1.1,N.10
B.1.1,B.1,N.10
B.1,B,N.10
B,,N.10
B.1.1.34,B.1.1,B.1.1.34
B.1.1,B.1,B.1.1.34
B.1,B,B.1.1.34
B,,B.1.1.34
B.1.1.37,B.1.1,B.1.1.37
B.1.1,B.1,B.1.1.37
B.1,B,B.1.1.37
B,,B.1.1.37
B.1.1.38,B.1.1,B.1.1.38
B.1.1,B.1,B.1.1.38
B.1,B,B.1.1.38
B,,B.1.1.38
B.1.1.39,B.1.1,B.1.1.39
B.1.1,B.1,B.1.1.39
B.1,B,B.1.1.39
B,,B.1.1.39
AQ.1,B.1.1.39,AQ.1
B.1.1.39,B.1.1,AQ.1
B.1.1,B.1,AQ.1
B.1,B,AQ.1
B,,AQ.1
AQ.2,B.1.1.39,AQ.2
B.1.1.39,B.1.1,AQ.2
B.1.1,B.1,AQ.2
B.1,B,AQ.2
B,,AQ.2
B.1.1.40,B.1.1,B.1.1.40
